gender,birthdate,country_of_birth,current_country,postcode,national_insurance_number,cc_status,weight,height,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited,birthmonth_imp,birthyear_gov,birth_group_op,Continent_gov_op,postcode_imp,postcode_gov,hash
F,1984-05-07,Armenia,United Kingdom,LS5 8FN,ZZ194892T,0,74.2,1.73,B+,6.5,218.8,phD,48,1984-05,1984,Over 1980,Asia,LS5 ,LS,771911
M,1997-06-17,Northern Mariana Islands,United Kingdom,M0U 1RA,ZZ753513T,0,69.4,1.74,O-,0.7,43.6,primary,42,1997-06,1997,Over 1980,other,M0U ,M,7449993
F,1990-06-15,Venezuela,United Kingdom,SO1 8HZ,ZZ947196T,0,98.6,1.88,B+,7.8,59.1,bachelor,9,1990-06,1990,Over 1980,America,SO1 ,SO,10852753
F,2000-07-29,Eritrea,United Kingdom,B18 8LW,ZZ396947T,0,62.0,1.56,O+,4.6,284.2,primary,32,2000-07,2000,Over 1980,Africa,B18 ,B,16881701
F,1968-04-11,Ecuador,United Kingdom,TQ2 6BE,ZZ309891T,0,96.3,1.81,A-,4.4,348.8,secondary,34,1968-04,1968,1955-1980,America,TQ2 ,TQ,4365497
F,1963-10-15,Argentina,United Kingdom,CM7H 0XS,ZZ141314T,0,43.4,1.59,A-,5.7,219.3,other,7,1963-10,1963,1955-1980,America,CM7H ,CM,8130564
M,1982-08-07,Cook Islands,United Kingdom,L02 5WL,ZZ972076T,0,77.5,1.55,B+,2.4,79.5,secondary,34,1982-08,1982,Over 1980,other,L02 ,L,8591079
M,1987-01-20,Saint Vincent and the Grenadines,United Kingdom,CR3 5ZN,ZZ599246T,0,59.0,1.89,A+,8.4,48.0,other,24,1987-01,1987,Over 1980,America,CR3 ,CR,5413048
F,1999-07-04,Kiribati,United Kingdom,WR96 2TD,ZZ278789T,0,83.1,1.42,A+,1.2,148.1,secondary,17,1999-07,1999,Over 1980,other,WR96 ,WR,17476941
M,1998-12-21,Belize,United Kingdom,KT5A 0AW,ZZ131934T,0,80.0,1.74,A+,5.2,47.0,bachelor,47,1998-12,1998,Over 1980,America,KT5A ,KT,14568694
M,1963-08-10,Tokelau,United Kingdom,G4 0BH,ZZ485590T,0,43.6,1.83,A+,1.8,293.3,primary,42,1963-08,1963,1955-1980,other,G4 ,G,22632966
M,1995-05-11,French Guiana,United Kingdom,HR5 5ZB,ZZ422945T,0,52.6,1.84,AB+,2.5,288.1,bachelor,29,1995-05,1995,Over 1980,America,HR5 ,HR,3313761
M,1991-06-26,Saint Lucia,United Kingdom,KT1 8UU,ZZ517176T,1,64.1,1.91,O+,3.0,406.9,secondary,44,1991-06,1991,Over 1980,America,KT1 ,KT,4055440
F,1961-08-26,Congo,United Kingdom,E6 7UY,ZZ361534T,0,80.0,1.84,B+,9.6,322.0,secondary,31,1961-08,1961,1955-1980,Africa,E6 ,E,35406
M,1991-03-09,Korea,United Kingdom,EN30 9FE,ZZ765821T,0,77.9,1.57,O+,4.3,67.7,secondary,29,1991-03,1991,Over 1980,Asia,EN30 ,EN,12928591
F,1977-10-31,Syrian Arab Republic,United Kingdom,L0F 5BW,ZZ492694T,0,77.5,1.79,B+,9.0,183.8,secondary,45,1977-10,1977,1955-1980,Asia,L0F ,L,9365452
F,1976-02-05,American Samoa,United Kingdom,LE5V 8WB,ZZ189163T,0,41.5,1.95,O+,10.0,74.7,phD,10,1976-02,1976,1955-1980,other,LE5V ,LE,10378370
F,1957-04-14,Palestinian Territory,United Kingdom,M5B 4NS,ZZ602234T,0,90.1,1.88,O+,4.1,34.6,bachelor,24,1957-04,1957,1955-1980,Asia,M5B ,M,667568
F,1996-07-11,Saint Barthelemy,United Kingdom,W6 0EU,ZZ009925T,0,98.4,1.91,A+,3.6,365.0,secondary,27,1996-07,1996,Over 1980,America,W6 ,W,4908087
M,1987-07-09,New Zealand,United Kingdom,TN2 4EW,ZZ067537T,0,36.2,1.88,A+,3.5,464.0,bachelor,4,1987-07,1987,Over 1980,other,TN2 ,TN,17164599
M,1994-10-20,Turkey,United Kingdom,NG6V 1FS,ZZ611611T,0,72.5,1.54,O-,6.1,267.8,bachelor,37,1994-10,1994,Over 1980,Asia,NG6V ,NG,4214013
M,1977-12-21,Saint Helena,United Kingdom,N0 5GA,ZZ519230T,0,48.6,1.51,O-,7.4,245.2,secondary,14,1977-12,1977,1955-1980,Africa,N0 ,N,23954037
M,1968-12-08,Korea,United Kingdom,B35 7NN,ZZ529118T,0,55.3,1.82,A-,1.8,12.3,secondary,35,1968-12,1968,1955-1980,Asia,B35 ,B,22453337
M,1971-12-30,Saudi Arabia,United Kingdom,BH2W 6DD,ZZ648629T,0,93.3,1.99,A+,6.6,131.7,primary,38,1971-12,1971,1955-1980,Asia,BH2W ,BH,18450664
M,1959-10-30,Honduras,United Kingdom,DL54 1GE,ZZ189276T,0,73.2,1.9,O+,8.7,136.8,masters,11,1959-10,1959,1955-1980,America,DL54 ,DL,6836347
F,1987-11-05,Niue,United Kingdom,AB7 0HN,ZZ489267T,0,49.0,1.97,O+,2.5,106.7,secondary,3,1987-11,1987,Over 1980,other,AB7 ,AB,12922162
M,2001-05-19,Armenia,United Kingdom,S7B 5NH,ZZ101448T,0,59.3,1.68,A+,5.9,431.9,secondary,27,2001-05,2001,Over 1980,Asia,S7B ,S,711060
M,1965-01-14,Montenegro,United Kingdom,RH86 4TQ,ZZ221166T,0,60.7,1.74,A+,1.4,244.0,secondary,47,1965-01,1965,1955-1980,Europe,RH86 ,RH,13271045
F,1989-02-26,Puerto Rico,United Kingdom,GU27 9HA,ZZ760811T,0,93.7,1.45,O+,5.8,481.0,secondary,14,1989-02,1989,Over 1980,America,GU27 ,GU,12503440
M,1999-06-20,Reunion,United Kingdom,DG1 7PR,ZZ566272T,0,95.4,1.8,O+,2.8,293.2,secondary,25,1999-06,1999,Over 1980,Africa,DG1 ,DG,10783278
F,1989-05-14,Iceland,United Kingdom,B60 1GQ,ZZ239491T,0,57.0,1.98,A+,9.5,470.7,masters,32,1989-05,1989,Over 1980,Europe,B60 ,B,17799805
F,2001-09-03,Zimbabwe,United Kingdom,LU47 5LB,ZZ025040T,0,90.2,1.77,A+,3.5,74.1,other,25,2001-09,2001,Over 1980,Africa,LU47 ,LU,7791389
M,1978-12-29,Netherlands,United Kingdom,NN7 4AW,ZZ351385T,0,59.0,1.48,O+,1.9,255.7,secondary,7,1978-12,1978,1955-1980,Europe,NN7 ,NN,3644669
F,1972-03-21,Aruba,United Kingdom,ME70 7TT,ZZ113126T,1,97.5,1.94,O+,3.3,40.6,secondary,13,1972-03,1972,1955-1980,America,ME70 ,ME,574996
M,1972-11-19,Liechtenstein,United Kingdom,KY1 9XH,ZZ478978T,0,82.2,1.41,O+,1.5,39.8,secondary,34,1972-11,1972,1955-1980,Europe,KY1 ,KY,16065612
M,1984-09-02,Egypt,United Kingdom,S0B 4EY,ZZ384331T,0,71.2,1.92,O+,2.7,65.7,secondary,16,1984-09,1984,Over 1980,Africa,S0B ,S,9208592
M,1956-11-12,Mexico,United Kingdom,BB2P 2WD,ZZ379332T,0,79.4,1.82,A+,3.8,90.6,masters,5,1956-11,1956,1955-1980,America,BB2P ,BB,1526816
F,1957-08-29,Mali,United Kingdom,AL3 7UX,ZZ142963T,0,85.5,1.56,A-,5.9,136.4,secondary,11,1957-08,1957,1955-1980,Africa,AL3 ,AL,4237462
M,1985-11-29,Paraguay,United Kingdom,CW4A 9XB,ZZ250700T,0,87.0,1.45,B-,3.1,288.8,other,33,1985-11,1985,Over 1980,America,CW4A ,CW,6355184
M,1984-08-26,Burkina Faso,United Kingdom,HA2 6RA,ZZ488709T,0,68.2,1.72,O+,2.8,64.4,secondary,48,1984-08,1984,Over 1980,Africa,HA2 ,HA,9653641
M,1990-11-11,Tajikistan,United Kingdom,G30 8GD,ZZ919729T,0,70.3,1.67,O+,4.6,362.1,secondary,45,1990-11,1990,Over 1980,Asia,G30 ,G,15481585
F,1975-10-23,Paraguay,United Kingdom,CW6 4UR,ZZ484870T,0,56.3,1.85,O+,2.4,80.3,masters,48,1975-10,1975,1955-1980,America,CW6 ,CW,19935704
M,1989-08-23,Austria,United Kingdom,SL9Y 3WW,ZZ643195T,0,90.8,1.67,O-,5.8,410.4,other,41,1989-08,1989,Over 1980,Europe,SL9Y ,SL,8404719
M,1959-05-18,Monaco,United Kingdom,GY5R 9SG,ZZ290725T,0,60.9,1.44,B+,2.6,424.5,primary,48,1959-05,1959,1955-1980,Europe,GY5R ,GY,99047
M,1967-09-20,Malta,United Kingdom,S6 4NA,ZZ448885T,0,36.1,1.51,A-,9.3,49.8,other,44,1967-09,1967,1955-1980,Europe,S6 ,S,2559434
M,1994-03-22,Hungary,United Kingdom,RH93 5WG,ZZ357039T,0,50.1,1.77,A+,0.2,214.4,secondary,14,1994-03,1994,Over 1980,Europe,RH93 ,RH,6016440
M,1986-06-28,Tonga,United Kingdom,BR66 4SQ,ZZ514070T,0,43.5,1.41,A+,6.2,487.1,other,22,1986-06,1986,Over 1980,other,BR66 ,BR,6487598
M,1994-06-08,Brunei Darussalam,United Kingdom,LN82 1YQ,ZZ013187T,0,66.9,1.99,A+,7.8,144.2,secondary,34,1994-06,1994,Over 1980,Asia,LN82 ,LN,20365213
M,1996-04-06,Cameroon,United Kingdom,G27 8BX,ZZ625911T,0,68.6,1.65,O+,2.9,353.3,secondary,19,1996-04,1996,Over 1980,Africa,G27 ,G,8864327
F,1986-12-14,United States of America,United Kingdom,G8 5DH,ZZ793782T,0,38.0,1.54,A+,8.1,492.7,other,45,1986-12,1986,Over 1980,America,G8 ,G,18404027
M,1979-04-04,Afghanistan,United Kingdom,OL7 6WQ,ZZ125022T,1,51.2,1.46,O-,2.3,344.9,secondary,37,1979-04,1979,1955-1980,Asia,OL7 ,OL,18771890
F,1982-05-25,United States Minor Outlying Islands,United Kingdom,S0 5ZZ,ZZ497620T,0,59.6,1.62,O+,2.4,85.9,secondary,17,1982-05,1982,Over 1980,other,S0 ,S,479811
F,1957-05-05,Christmas Island,United Kingdom,TQ87 1BX,ZZ408115T,0,67.7,1.97,O+,8.7,470.1,masters,36,1957-05,1957,1955-1980,Asia,TQ87 ,TQ,21902025
F,1978-11-14,Cayman Islands,United Kingdom,L95 7RB,ZZ345235T,1,64.4,1.44,A+,1.5,208.7,secondary,31,1978-11,1978,1955-1980,America,L95 ,L,22711852
M,1956-10-21,Central African Republic,United Kingdom,B05 0BE,ZZ922606T,0,97.9,1.73,A+,5.9,448.4,secondary,28,1956-10,1956,1955-1980,Africa,B05 ,B,18316195
M,1960-10-11,Bulgaria,United Kingdom,YO63 6JR,ZZ769144T,0,61.1,1.55,B-,3.1,186.5,secondary,38,1960-10,1960,1955-1980,Europe,YO63 ,YO,12519751
M,1997-06-19,Gibraltar,United Kingdom,S06 6ET,ZZ722576T,0,91.1,1.43,A+,4.5,52.3,secondary,38,1997-06,1997,Over 1980,Europe,S06 ,S,24718136
F,1988-01-21,Niue,United Kingdom,N46 4XS,ZZ646352T,0,81.2,1.52,A+,6.8,439.6,secondary,16,1988-01,1988,Over 1980,other,N46 ,N,7513482
M,1961-01-27,Norway,United Kingdom,NR2E 3GJ,ZZ827594T,0,35.5,1.62,O+,9.2,44.7,secondary,3,1961-01,1961,1955-1980,Europe,NR2E ,NR,13799166
M,1978-06-20,Marshall Islands,United Kingdom,EC6 6UW,ZZ661220T,0,53.1,1.53,A+,5.8,347.6,bachelor,48,1978-06,1978,1955-1980,other,EC6 ,EC,12007768
M,2002-09-29,Saint Martin,United Kingdom,B1 7PE,ZZ759473T,0,74.0,1.75,AB+,0.2,348.2,masters,26,2002-09,2002,Over 1980,America,B1 ,B,13332967
M,1991-01-30,Ireland,United Kingdom,BA9 6GT,ZZ061965T,0,41.3,1.67,B-,6.9,45.4,secondary,22,1991-01,1991,Over 1980,Europe,BA9 ,BA,6943368
F,1989-02-04,Mexico,United Kingdom,L85 4ZF,ZZ117696T,0,75.2,1.48,AB+,8.7,251.4,other,28,1989-02,1989,Over 1980,America,L85 ,L,12211358
F,1962-04-19,Burundi,United Kingdom,L0A 8ZU,ZZ178551T,0,97.9,1.95,A+,1.7,194.6,other,16,1962-04,1962,1955-1980,Africa,L0A ,L,23115093
M,1980-01-15,Yemen,United Kingdom,OX6 5RF,ZZ437546T,0,64.0,1.94,A+,6.6,220.1,secondary,35,1980-01,1980,1955-1980,Asia,OX6 ,OX,12521390
M,1981-03-05,Niue,United Kingdom,TD41 4ET,ZZ532573T,0,38.9,1.44,O-,7.4,449.0,bachelor,27,1981-03,1981,1955-1980,other,TD41 ,TD,19547019
M,1983-01-23,Macao,United Kingdom,B1H 6JS,ZZ906143T,1,58.5,1.68,A-,9.8,87.3,secondary,35,1983-01,1983,Over 1980,Asia,B1H ,B,8694683
M,1956-10-06,Hong Kong,United Kingdom,L1T 3AW,ZZ618233T,0,66.0,1.57,A+,5.1,184.0,secondary,18,1956-10,1956,1955-1980,Asia,L1T ,L,24632824
F,1974-03-20,Antarctica (the territory South of 60 deg S),United Kingdom,LE2W 4EE,ZZ029263T,0,41.3,1.61,O+,6.6,198.6,other,19,1974-03,1974,1955-1980,other,LE2W ,LE,16773041
F,1988-09-03,British Virgin Islands,United Kingdom,NR52 4RD,ZZ853735T,0,87.8,1.99,O+,7.6,349.1,secondary,9,1988-09,1988,Over 1980,America,NR52 ,NR,3491460
M,1972-04-17,El Salvador,United Kingdom,GL57 8DH,ZZ810250T,0,63.1,1.71,O+,9.6,58.7,secondary,30,1972-04,1972,1955-1980,America,GL57 ,GL,18963657
F,1982-06-28,Australia,United Kingdom,S29 9HZ,ZZ037958T,0,95.8,1.99,A-,3.8,73.9,bachelor,34,1982-06,1982,Over 1980,other,S29 ,S,12468993
F,1997-05-25,Czech Republic,United Kingdom,RH4X 7HG,ZZ857675T,0,67.4,1.75,A+,1.7,429.8,secondary,25,1997-05,1997,Over 1980,Europe,RH4X ,RH,13236847
M,1970-08-03,Uganda,United Kingdom,E69 8HA,ZZ287468T,0,98.7,1.65,O+,1.2,135.6,secondary,21,1970-08,1970,1955-1980,Africa,E69 ,E,16392904
F,1980-05-22,Georgia,United Kingdom,N2 4EY,ZZ436685T,0,81.4,1.78,A-,4.3,307.3,secondary,41,1980-05,1980,1955-1980,Asia,N2 ,N,4645827
F,1988-11-23,Bahrain,United Kingdom,SS01 9FF,ZZ163044T,0,69.9,1.47,A-,4.1,160.5,primary,37,1988-11,1988,Over 1980,Asia,SS01 ,SS,6383174
M,1978-10-12,Malawi,United Kingdom,M5 5EZ,ZZ614918T,0,80.7,1.78,O-,1.0,433.6,primary,28,1978-10,1978,1955-1980,Africa,M5 ,M,19940124
M,1970-08-27,Christmas Island,United Kingdom,W5C 5XH,ZZ752480T,0,58.7,1.51,A+,5.2,421.4,secondary,13,1970-08,1970,1955-1980,Asia,W5C ,W,3244789
M,1963-10-09,Chad,United Kingdom,N7B 8XS,ZZ197524T,0,49.4,1.46,A+,0.7,32.8,phD,10,1963-10,1963,1955-1980,Africa,N7B ,N,16027406
F,2000-11-19,Germany,United Kingdom,EH8E 9BR,ZZ493458T,0,64.7,1.49,A+,4.3,264.1,secondary,40,2000-11,2000,Over 1980,Europe,EH8E ,EH,16428043
F,1988-05-15,Hungary,United Kingdom,G2 0QW,ZZ183744T,0,36.9,1.94,A-,8.8,345.4,other,38,1988-05,1988,Over 1980,Europe,G2 ,G,20977478
M,1970-12-13,South Georgia and the South Sandwich Islands,United Kingdom,NP0 3SG,ZZ829238T,0,59.5,1.62,A+,5.0,340.9,secondary,27,1970-12,1970,1955-1980,America,NP0 ,NP,23280925
M,1970-08-05,Hungary,United Kingdom,E80 0JR,ZZ465641T,0,38.0,1.98,A+,1.8,306.4,secondary,44,1970-08,1970,1955-1980,Europe,E80 ,E,16602676
F,1972-10-31,Korea,United Kingdom,AL9 5QQ,ZZ842073T,1,68.0,1.58,O+,9.3,260.4,secondary,44,1972-10,1972,1955-1980,Asia,AL9 ,AL,7089451
M,2003-05-08,United States Minor Outlying Islands,United Kingdom,PA68 9JH,ZZ348282T,0,51.1,1.59,O+,4.6,222.3,secondary,44,2003-05,2003,Over 1980,other,PA68 ,PA,5537358
F,2000-02-28,Mali,United Kingdom,BR0H 4AH,ZZ925940T,1,59.5,1.98,O+,6.8,122.4,secondary,10,2000-02,2000,Over 1980,Africa,BR0H ,BR,4368941
F,1980-11-08,Togo,United Kingdom,B2 9XL,ZZ363522T,0,64.5,1.7,O+,8.4,69.5,secondary,42,1980-11,1980,1955-1980,Africa,B2 ,B,12474657
F,1971-04-26,Australia,United Kingdom,G8 6NP,ZZ930525T,0,45.2,1.58,A+,4.2,53.8,bachelor,14,1971-04,1971,1955-1980,other,G8 ,G,1985959
F,1966-01-10,Ukraine,United Kingdom,JE9R 2ZS,ZZ191274T,0,98.4,1.96,A-,2.4,125.2,secondary,4,1966-01,1966,1955-1980,Europe,JE9R ,JE,16101543
F,1960-12-22,Algeria,United Kingdom,S6 0PF,ZZ693036T,0,59.5,1.89,O+,9.5,176.0,phD,39,1960-12,1960,1955-1980,Africa,S6 ,S,10911628
M,1993-01-25,Azerbaijan,United Kingdom,G3K 1YU,ZZ443600T,0,53.8,1.92,A+,2.1,91.5,secondary,38,1993-01,1993,Over 1980,Asia,G3K ,G,13590946
F,1963-07-09,Zimbabwe,United Kingdom,PA1 5HL,ZZ577881T,0,35.0,1.66,A+,2.1,466.2,secondary,43,1963-07,1963,1955-1980,Africa,PA1 ,PA,10313967
F,1960-04-12,United States of America,United Kingdom,CT1 2BR,ZZ911849T,0,74.4,1.47,O+,6.4,406.0,secondary,46,1960-04,1960,1955-1980,America,CT1 ,CT,20175591
M,1971-12-09,Singapore,United Kingdom,TQ8 3YD,ZZ156938T,0,81.5,1.65,A+,1.1,408.7,secondary,44,1971-12,1971,1955-1980,Asia,TQ8 ,TQ,21169879
F,1968-02-16,Guam,United Kingdom,L7 2BU,ZZ264973T,0,59.3,1.71,O+,7.4,2.6,bachelor,46,1968-02,1968,1955-1980,other,L7 ,L,19801638
F,1985-02-23,Mongolia,United Kingdom,EC56 3HL,ZZ895739T,0,66.4,1.48,A-,9.4,461.7,secondary,18,1985-02,1985,Over 1980,Asia,EC56 ,EC,7120732
F,2003-04-11,Russian Federation,United Kingdom,G95 1XU,ZZ464835T,1,44.6,1.55,O+,4.9,449.5,secondary,28,2003-04,2003,Over 1980,Europe,G95 ,G,13905158
M,1987-01-29,Belgium,United Kingdom,TW56 1BP,ZZ498748T,0,64.0,1.66,A-,9.1,365.9,bachelor,16,1987-01,1987,Over 1980,Europe,TW56 ,TW,10204356
F,2000-10-23,Mozambique,United Kingdom,L0A 4DY,ZZ299834T,0,86.7,1.61,O+,7.4,70.8,phD,23,2000-10,2000,Over 1980,Africa,L0A ,L,23479246
M,1976-07-17,Cameroon,United Kingdom,G6 3YA,ZZ872419T,0,71.9,1.77,B+,8.7,313.9,secondary,22,1976-07,1976,1955-1980,Africa,G6 ,G,13258192
F,1984-07-05,Brunei Darussalam,United Kingdom,N3S 7PT,ZZ431574T,0,48.7,1.44,O+,9.2,60.1,secondary,10,1984-07,1984,Over 1980,Asia,N3S ,N,20354989
M,1981-12-06,Brazil,United Kingdom,WR7E 4XH,ZZ147568T,0,38.7,1.99,A+,8.6,283.3,secondary,18,1981-12,1981,1955-1980,America,WR7E ,WR,4453454
F,1958-04-04,Gambia,United Kingdom,DL73 1EX,ZZ187203T,0,77.7,1.71,B+,9.0,277.3,masters,37,1958-04,1958,1955-1980,Africa,DL73 ,DL,11476178
M,1969-05-31,Cuba,United Kingdom,G9D 9RL,ZZ790553T,0,49.1,1.94,A+,3.3,49.9,secondary,41,1969-05,1969,1955-1980,America,G9D ,G,14060909
M,1986-07-10,Latvia,United Kingdom,HP41 7QZ,ZZ132630T,0,56.5,1.89,A+,2.3,34.4,bachelor,21,1986-07,1986,Over 1980,Europe,HP41 ,HP,17131168
M,2002-05-26,Saint Kitts and Nevis,United Kingdom,NE6 6BF,ZZ142839T,0,56.8,1.84,O+,2.2,486.9,secondary,16,2002-05,2002,Over 1980,America,NE6 ,NE,6111427
M,1963-02-11,Western Sahara,United Kingdom,DD04 9DQ,ZZ117380T,0,66.2,1.71,O+,8.9,110.1,bachelor,7,1963-02,1963,1955-1980,other,DD04 ,DD,11722843
M,1981-02-07,Central African Republic,United Kingdom,W30 2ZF,ZZ299211T,0,55.6,1.69,O+,0.7,439.6,bachelor,10,1981-02,1981,1955-1980,Africa,W30 ,W,18808056
